iteration,loss
0,0.230355
1000,0.003046
2000,0.002570
3000,0.002405
4000,0.002334
5000,0.002190
6000,0.002141
7000,0.002008
8000,0.001946
9000,0.001981
10000,0.001909
11000,0.001884
12000,0.001834
13000,0.001845
14000,0.001796
15000,0.001780
16000,0.001738
17000,0.001781
18000,0.001671
19000,0.001725
20000,0.001638
21000,0.001609
22000,0.001651
23000,0.001604
24000,0.001621
25000,0.001586
26000,0.001620
27000,0.001562
28000,0.001575
29000,0.001551
30000,0.001597
31000,0.001515
32000,0.001575
33000,0.001499
34000,0.001478
35000,0.001522
36000,0.001490
37000,0.001518
38000,0.001479
39000,0.001523
40000,0.001471
41000,0.001502
42000,0.001468
43000,0.001525
44000,0.001437
45000,0.001512
46000,0.001443
47000,0.001417
48000,0.001476
49000,0.001428
50000,0.001476
51000,0.001424
52000,0.001482
53000,0.001428
54000,0.001461
55000,0.001425
56000,0.001493
57000,0.001403
58000,0.001481
59000,0.001405
60000,0.001385
61000,0.001451
62000,0.001393
63000,0.001451
64000,0.001396
65000,0.001449
66000,0.001414
67000,0.001442
68000,0.001397
69000,0.001465
70000,0.001383
71000,0.001462
72000,0.001393
73000,0.001363
74000,0.001429
75000,0.001369
76000,0.001438
77000,0.001377
78000,0.001440
79000,0.001384
80000,0.001422
81000,0.001386
82000,0.001451
83000,0.001370
84000,0.001439
85000,0.001383
86000,0.001348
87000,0.001417
88000,0.001355
89000,0.001430
90000,0.001353
91000,0.001431
92000,0.001374
93000,0.001412
94000,0.001377
95000,0.001429
96000,0.001366
97000,0.001434
98000,0.001369
99000,0.001347
100000,0.001394
101000,0.001348
102000,0.001430
103000,0.001340
104000,0.001416
105000,0.001363
106000,0.001407
107000,0.001370
108000,0.001424
109000,0.001357
110000,0.001420
111000,0.001366
112000,0.001343
113000,0.001395
114000,0.001327
115000,0.001424
116000,0.001333
117000,0.001414
118000,0.001350
119000,0.001398
120000,0.001366
121000,0.001415
122000,0.001353
123000,0.001413
124000,0.001357
125000,0.001334
126000,0.001391
127000,0.001320
128000,0.001419
129000,0.001327
130000,0.001409
131000,0.001346
132000,0.001395
133000,0.001361
134000,0.001405
135000,0.001356
136000,0.001401
137000,0.001354
138000,0.001328
139000,0.001393
140000,0.001306
141000,0.001418
142000,0.001322
143000,0.001407
144000,0.001339
145000,0.001400
146000,0.001343
147000,0.001403
148000,0.001352
149000,0.001399
150000,0.001344
