iteration,loss
0,0.160396
1000,0.003105
2000,0.002793
3000,0.002467
4000,0.002347
5000,0.002302
6000,0.002202
7000,0.002222
8000,0.002122
9000,0.002111
10000,0.001976
11000,0.002062
12000,0.001961
13000,0.001976
14000,0.001945
15000,0.001990
16000,0.001868
17000,0.001890
18000,0.001869
19000,0.001845
20000,0.001882
21000,0.001824
22000,0.001866
23000,0.001731
24000,0.001852
25000,0.001757
26000,0.001786
27000,0.001772
28000,0.001834
29000,0.001722
30000,0.001777
31000,0.001725
32000,0.001724
33000,0.001766
34000,0.001719
35000,0.001774
36000,0.001637
37000,0.001765
38000,0.001662
39000,0.001705
40000,0.001691
41000,0.001759
42000,0.001649
43000,0.001702
44000,0.001658
45000,0.001659
46000,0.001704
47000,0.001658
48000,0.001707
49000,0.001579
50000,0.001716
51000,0.001609
52000,0.001658
53000,0.001634
54000,0.001721
55000,0.001604
56000,0.001670
57000,0.001615
58000,0.001616
59000,0.001671
60000,0.001627
61000,0.001675
62000,0.001550
63000,0.001678
64000,0.001579
65000,0.001644
66000,0.001601
67000,0.001695
68000,0.001571
69000,0.001662
70000,0.001584
71000,0.001593
72000,0.001656
73000,0.001594
74000,0.001658
75000,0.001532
76000,0.001664
77000,0.001556
78000,0.001623
79000,0.001583
80000,0.001686
81000,0.001551
82000,0.001650
83000,0.001562
84000,0.001581
85000,0.001645
86000,0.001586
87000,0.001638
88000,0.001518
89000,0.001651
90000,0.001541
91000,0.001613
92000,0.001573
93000,0.001667
94000,0.001538
95000,0.001643
96000,0.001550
97000,0.001574
98000,0.001626
99000,0.001574
100000,0.001632
101000,0.001510
102000,0.001641
103000,0.001529
104000,0.001608
105000,0.001559
106000,0.001661
107000,0.001532
108000,0.001631
109000,0.001542
110000,0.001567
111000,0.001617
112000,0.001571
113000,0.001619
114000,0.001500
115000,0.001637
116000,0.001524
117000,0.001598
118000,0.001567
119000,0.001640
120000,0.001528
121000,0.001618
122000,0.001541
123000,0.001554
124000,0.001612
125000,0.001567
126000,0.001609
127000,0.001500
128000,0.001632
129000,0.001520
130000,0.001585
131000,0.001564
132000,0.001626
133000,0.001523
134000,0.001613
135000,0.001548
136000,0.001538
137000,0.001607
138000,0.001558
139000,0.001604
140000,0.001499
141000,0.001622
142000,0.001521
143000,0.001575
144000,0.001558
145000,0.001622
146000,0.001519
147000,0.001609
148000,0.001543
149000,0.001533
150000,0.001602
151000,0.001554
152000,0.001600
153000,0.001501
154000,0.001622
155000,0.001508
156000,0.001571
157000,0.001555
158000,0.001617
159000,0.001514
160000,0.001608
161000,0.001535
162000,0.001534
163000,0.001593
164000,0.001550
165000,0.001595
166000,0.001498
167000,0.001617
168000,0.001508
169000,0.001573
170000,0.001545
171000,0.001616
172000,0.001508
173000,0.001603
174000,0.001531
175000,0.001533
176000,0.001591
177000,0.001550
178000,0.001590
179000,0.001494
180000,0.001612
181000,0.001506
182000,0.001570
183000,0.001542
184000,0.001617
185000,0.001504
186000,0.001598
187000,0.001528
188000,0.001531
189000,0.001588
190000,0.001549
191000,0.001589
192000,0.001497
193000,0.001608
194000,0.001497
195000,0.001574
196000,0.001535
197000,0.001621
198000,0.001493
199000,0.001600
200000,0.001526
201000,0.001528
202000,0.001584
203000,0.001551
204000,0.001585
205000,0.001492
206000,0.001606
207000,0.001495
208000,0.001578
209000,0.001529
210000,0.001618
211000,0.001500
212000,0.001601
213000,0.001514
214000,0.001530
215000,0.001578
216000,0.001549
217000,0.001582
218000,0.001491
219000,0.001607
220000,0.001491
221000,0.001581
222000,0.001523
223000,0.001615
224000,0.001501
225000,0.001598
226000,0.001513
227000,0.001530
228000,0.001595
229000,0.001534
230000,0.001572
231000,0.001491
232000,0.001610
233000,0.001485
234000,0.001578
235000,0.001522
236000,0.001613
237000,0.001502
238000,0.001593
239000,0.001516
240000,0.001532
241000,0.001596
242000,0.001524
243000,0.001568
244000,0.001500
245000,0.001599
246000,0.001485
247000,0.001581
248000,0.001515
249000,0.001612
250000,0.001499
251000,0.001591
252000,0.001518
253000,0.001528
254000,0.001595
