iteration,loss
0,0.147756
1000,0.001365
2000,0.000904
3000,0.000756
4000,0.000659
5000,0.000644
6000,0.000591
7000,0.000606
8000,0.000563
9000,0.000584
10000,0.000541
11000,0.000566
12000,0.000542
13000,0.000554
14000,0.000540
15000,0.000547
16000,0.000538
17000,0.000531
18000,0.000542
19000,0.000526
20000,0.000543
21000,0.000523
22000,0.000541
23000,0.000512
24000,0.000540
25000,0.000517
26000,0.000535
27000,0.000522
28000,0.000531
29000,0.000525
30000,0.000520
31000,0.000531
32000,0.000515
33000,0.000532
34000,0.000515
35000,0.000534
36000,0.000505
37000,0.000533
38000,0.000510
39000,0.000529
40000,0.000517
41000,0.000528
42000,0.000519
43000,0.000516
44000,0.000527
45000,0.000511
46000,0.000530
47000,0.000512
48000,0.000531
49000,0.000504
50000,0.000529
51000,0.000508
52000,0.000525
53000,0.000516
54000,0.000526
55000,0.000518
56000,0.000516
57000,0.000526
58000,0.000509
59000,0.000528
60000,0.000511
61000,0.000529
62000,0.000504
63000,0.000529
64000,0.000508
65000,0.000524
66000,0.000516
67000,0.000525
68000,0.000516
69000,0.000516
70000,0.000525
71000,0.000508
72000,0.000528
73000,0.000511
74000,0.000529
75000,0.000504
76000,0.000527
77000,0.000507
78000,0.000525
79000,0.000516
80000,0.000525
81000,0.000516
82000,0.000516
83000,0.000526
84000,0.000509
85000,0.000526
86000,0.000511
87000,0.000529
88000,0.000505
89000,0.000526
90000,0.000508
91000,0.000526
92000,0.000514
93000,0.000526
94000,0.000517
95000,0.000516
96000,0.000526
97000,0.000509
98000,0.000527
99000,0.000512
