iteration,loss
0,0.357474
1000,0.003644
2000,0.003226
3000,0.002943
4000,0.002780
5000,0.002759
6000,0.002587
7000,0.002582
8000,0.002465
9000,0.002459
10000,0.002422
11000,0.002398
12000,0.002418
13000,0.002251
14000,0.002321
15000,0.002322
16000,0.002305
17000,0.002211
18000,0.002302
19000,0.002143
20000,0.002229
21000,0.002157
22000,0.002186
23000,0.002124
24000,0.002161
25000,0.002187
26000,0.002082
27000,0.002109
28000,0.002153
29000,0.002108
30000,0.002062
31000,0.002179
32000,0.002007
33000,0.002099
34000,0.002024
35000,0.002069
36000,0.002049
37000,0.002078
38000,0.002080
39000,0.001994
40000,0.002028
41000,0.002095
42000,0.002027
43000,0.001995
44000,0.002095
45000,0.001955
46000,0.002045
47000,0.001962
48000,0.002024
49000,0.001974
50000,0.002030
51000,0.002047
52000,0.001960
53000,0.001974
54000,0.002050
55000,0.001996
56000,0.001966
57000,0.002064
58000,0.001924
59000,0.001992
60000,0.001946
61000,0.001987
62000,0.001947
63000,0.002005
64000,0.002008
65000,0.001937
66000,0.001953
67000,0.002025
68000,0.001964
69000,0.001944
70000,0.002035
71000,0.001907
72000,0.001988
73000,0.001909
74000,0.001961
75000,0.001932
76000,0.001983
77000,0.001991
78000,0.001916
79000,0.001937
80000,0.001996
81000,0.001961
82000,0.001924
83000,0.002018
84000,0.001883
85000,0.001979
86000,0.001897
87000,0.001954
88000,0.001909
89000,0.001972
90000,0.001982
91000,0.001911
92000,0.001912
93000,0.001985
94000,0.001941
95000,0.001912
96000,0.002013
97000,0.001873
98000,0.001972
99000,0.001879
100000,0.001933
101000,0.001917
102000,0.001963
103000,0.001963
104000,0.001904
105000,0.001904
106000,0.001976
107000,0.001930
108000,0.001910
109000,0.001990
110000,0.001876
111000,0.001956
112000,0.001869
113000,0.001924
114000,0.001900
115000,0.001956
116000,0.001963
117000,0.001895
118000,0.001891
119000,0.001966
120000,0.001924
121000,0.001903
122000,0.001986
123000,0.001874
124000,0.001940
125000,0.001865
126000,0.001921
127000,0.001887
128000,0.001949
129000,0.001948
130000,0.001896
131000,0.001883
132000,0.001957
133000,0.001923
134000,0.001885
135000,0.001984
136000,0.001867
137000,0.001940
138000,0.001850
139000,0.001915
140000,0.001886
141000,0.001941
142000,0.001945
143000,0.001905
144000,0.001857
145000,0.001951
146000,0.001921
147000,0.001894
148000,0.001962
149000,0.001860
150000,0.001937
151000,0.001845
152000,0.001916
153000,0.001878
154000,0.001937
155000,0.001940
156000,0.001901
157000,0.001853
158000,0.001947
159000,0.001910
160000,0.001887
161000,0.001968
162000,0.001846
163000,0.001936
164000,0.001834
165000,0.001908
166000,0.001880
167000,0.001939
168000,0.001930
169000,0.001897
170000,0.001847
171000,0.001946
172000,0.001902
173000,0.001884
174000,0.001959
175000,0.001841
176000,0.001941
177000,0.001822
178000,0.001907
179000,0.001870
180000,0.001929
181000,0.001930
182000,0.001897
183000,0.001842
184000,0.001939
185000,0.001902
186000,0.001882
187000,0.001954
188000,0.001835
189000,0.001935
190000,0.001826
191000,0.001899
192000,0.001864
193000,0.001930
194000,0.001916
195000,0.001894
196000,0.001851
197000,0.001931
198000,0.001890
199000,0.001878
200000,0.001959
201000,0.001830
202000,0.001927
203000,0.001824
204000,0.001897
205000,0.001863
206000,0.001924
207000,0.001910
208000,0.001896
209000,0.001844
210000,0.001926
211000,0.001897
212000,0.001869
213000,0.001965
214000,0.001821
215000,0.001921
216000,0.001822
217000,0.001902
218000,0.001852
219000,0.001921
220000,0.001912
221000,0.001896
222000,0.001838
223000,0.001920
224000,0.001892
225000,0.001873
226000,0.001959
227000,0.001821
228000,0.001916
229000,0.001816
230000,0.001894
231000,0.001857
232000,0.001917
233000,0.001913
234000,0.001888
235000,0.001839
236000,0.001916
237000,0.001889
238000,0.001866
239000,0.001956
240000,0.001820
241000,0.001914
242000,0.001813
243000,0.001893
244000,0.001849
245000,0.001917
246000,0.001909
247000,0.001893
248000,0.001846
249000,0.001900
250000,0.001887
251000,0.001866
252000,0.001951
