iteration,loss
0,0.189268
1000,0.128670
2000,0.129064
3000,0.002884
4000,0.002505
5000,0.002328
6000,0.002139
7000,0.002173
8000,0.002025
9000,0.002092
10000,0.001965
11000,0.002031
12000,0.001860
13000,0.001950
14000,0.001866
15000,0.001852
16000,0.001897
17000,0.001794
18000,0.001878
19000,0.001738
20000,0.001853
21000,0.001743
22000,0.001811
23000,0.001719
24000,0.001823
25000,0.001687
26000,0.001769
27000,0.001707
28000,0.001695
29000,0.001754
30000,0.001664
31000,0.001767
32000,0.001618
33000,0.001742
34000,0.001624
35000,0.001729
36000,0.001622
37000,0.001723
38000,0.001609
39000,0.001677
40000,0.001639
41000,0.001619
42000,0.001689
43000,0.001589
44000,0.001695
45000,0.001565
46000,0.001685
47000,0.001561
48000,0.001675
49000,0.001562
50000,0.001677
51000,0.001564
52000,0.001625
53000,0.001603
54000,0.001568
55000,0.001649
56000,0.001558
57000,0.001652
58000,0.001526
59000,0.001649
60000,0.001535
61000,0.001643
62000,0.001533
63000,0.001655
64000,0.001525
65000,0.001605
66000,0.001567
67000,0.001543
68000,0.001618
69000,0.001534
70000,0.001640
71000,0.001500
72000,0.001617
73000,0.001513
74000,0.001619
75000,0.001513
76000,0.001635
77000,0.001505
78000,0.001582
79000,0.001544
80000,0.001525
81000,0.001599
82000,0.001512
83000,0.001615
84000,0.001480
85000,0.001602
86000,0.001495
87000,0.001598
88000,0.001492
89000,0.001615
90000,0.001488
91000,0.001568
92000,0.001525
93000,0.001512
94000,0.001581
95000,0.001497
96000,0.001593
97000,0.001462
98000,0.001583
99000,0.001481
100000,0.001586
101000,0.001474
102000,0.001597
103000,0.001480
104000,0.001552
105000,0.001509
106000,0.001508
107000,0.001559
108000,0.001486
109000,0.001583
110000,0.001456
111000,0.001569
112000,0.001466
113000,0.001573
114000,0.001464
115000,0.001586
116000,0.001468
117000,0.001539
118000,0.001497
119000,0.001508
120000,0.001540
121000,0.001477
122000,0.001569
123000,0.001448
124000,0.001559
125000,0.001453
126000,0.001565
127000,0.001454
128000,0.001583
129000,0.001451
130000,0.001530
131000,0.001488
132000,0.001501
133000,0.001526
134000,0.001470
135000,0.001569
136000,0.001433
137000,0.001545
138000,0.001444
139000,0.001557
140000,0.001455
141000,0.001569
142000,0.001442
143000,0.001522
144000,0.001487
145000,0.001489
146000,0.001518
147000,0.001462
148000,0.001558
149000,0.001426
150000,0.001543
151000,0.001440
152000,0.001543
153000,0.001446
154000,0.001561
155000,0.001438
156000,0.001518
157000,0.001475
158000,0.001482
159000,0.001515
160000,0.001465
161000,0.001540
162000,0.001419
163000,0.001538
164000,0.001431
165000,0.001536
166000,0.001445
167000,0.001550
168000,0.001435
169000,0.001508
170000,0.001470
171000,0.001479
172000,0.001504
173000,0.001461
174000,0.001539
175000,0.001410
176000,0.001535
177000,0.001425
178000,0.001530
179000,0.001440
180000,0.001548
181000,0.001426
182000,0.001508
183000,0.001461
184000,0.001473
185000,0.001498
186000,0.001456
187000,0.001533
188000,0.001410
189000,0.001526
190000,0.001418
191000,0.001528
192000,0.001434
193000,0.001541
194000,0.001422
195000,0.001505
196000,0.001455
197000,0.001468
198000,0.001495
199000,0.001449
200000,0.001534
201000,0.001403
202000,0.001521
203000,0.001416
204000,0.001524
205000,0.001430
206000,0.001540
207000,0.001416
208000,0.001502
209000,0.001453
210000,0.001469
211000,0.001486
212000,0.001444
213000,0.001532
214000,0.001396
215000,0.001517
216000,0.001412
217000,0.001518
218000,0.001428
219000,0.001541
220000,0.001411
221000,0.001494
222000,0.001449
223000,0.001471
224000,0.001477
225000,0.001448
226000,0.001526
227000,0.001391
228000,0.001514
229000,0.001411
230000,0.001514
231000,0.001424
232000,0.001536
233000,0.001407
234000,0.001492
235000,0.001445
236000,0.001468
237000,0.001474
238000,0.001444
239000,0.001523
240000,0.001392
241000,0.001512
242000,0.001415
243000,0.001505
244000,0.001419
245000,0.001535
246000,0.001401
247000,0.001490
248000,0.001444
249000,0.001465
250000,0.001468
251000,0.001440
252000,0.001520
253000,0.001394
254000,0.001507
255000,0.001417
256000,0.001497
257000,0.001420
258000,0.001529
259000,0.001400
260000,0.001486
261000,0.001443
262000,0.001464
263000,0.001466
264000,0.001437
265000,0.001517
266000,0.001392
267000,0.001502
268000,0.001415
269000,0.001496
270000,0.001417
271000,0.001525
272000,0.001400
273000,0.001487
274000,0.001440
275000,0.001460
276000,0.001466
277000,0.001439
278000,0.001510
279000,0.001390
280000,0.001501
281000,0.001413
282000,0.001492
283000,0.001417
284000,0.001523
285000,0.001398
286000,0.001484
287000,0.001439
288000,0.001456
289000,0.001464
290000,0.001438
291000,0.001511
292000,0.001383
293000,0.001498
294000,0.001412
295000,0.001490
296000,0.001417
297000,0.001517
298000,0.001397
299000,0.001487
300000,0.001435
301000,0.001456
302000,0.001461
303000,0.001434
304000,0.001507
305000,0.001384
306000,0.001496
307000,0.001410
308000,0.001487
309000,0.001418
310000,0.001515
311000,0.001395
312000,0.001482
313000,0.001433
314000,0.001456
315000,0.001458
316000,0.001432
317000,0.001504
318000,0.001382
319000,0.001494
320000,0.001410
321000,0.001488
322000,0.001412
323000,0.001512
324000,0.001393
325000,0.001485
326000,0.001427
327000,0.001454
328000,0.001456
329000,0.001431
330000,0.001502
331000,0.001388
332000,0.001486
333000,0.001406
334000,0.001485
335000,0.001418
336000,0.001503
337000,0.001395
338000,0.001479
339000,0.001429
340000,0.001454
341000,0.001459
342000,0.001422
343000,0.001499
344000,0.001387
345000,0.001486
346000,0.001401
347000,0.001487
348000,0.001414
349000,0.001501
350000,0.001393
351000,0.001477
352000,0.001434
353000,0.001448
354000,0.001457
355000,0.001419
356000,0.001500
357000,0.001385
358000,0.001482
359000,0.001399
360000,0.001489
361000,0.001409
362000,0.001502
363000,0.001397
364000,0.001470
365000,0.001432
366000,0.001446
367000,0.001460
368000,0.001415
369000,0.001500
370000,0.001384
371000,0.001479
372000,0.001397
373000,0.001490
374000,0.001405
375000,0.001500
376000,0.001395
377000,0.001468
378000,0.001434
379000,0.001442
380000,0.001458
381000,0.001417
382000,0.001494
383000,0.001387
384000,0.001475
385000,0.001398
386000,0.001488
387000,0.001402
388000,0.001498
389000,0.001396
390000,0.001466
391000,0.001432
392000,0.001441
393000,0.001463
394000,0.001410
395000,0.001495
396000,0.001385
397000,0.001471
398000,0.001398
399000,0.001484
400000,0.001401
401000,0.001500
402000,0.001392
403000,0.001465
404000,0.001431
405000,0.001438
406000,0.001465
407000,0.001411
408000,0.001490
409000,0.001387
410000,0.001471
411000,0.001390
412000,0.001484
413000,0.001401
414000,0.001497
415000,0.001391
416000,0.001463
417000,0.001431
418000,0.001440
419000,0.001462
420000,0.001408
421000,0.001491
422000,0.001385
423000,0.001468
424000,0.001388
425000,0.001486
426000,0.001398
427000,0.001495
428000,0.001392
429000,0.001463
430000,0.001428
431000,0.001438
432000,0.001460
433000,0.001407
434000,0.001489
435000,0.001393
436000,0.001461
437000,0.001384
438000,0.001484
439000,0.001398
440000,0.001499
441000,0.001386
442000,0.001466
443000,0.001423
444000,0.001438
445000,0.001458
446000,0.001406
447000,0.001487
448000,0.001392
449000,0.001461
