iteration,loss
0,0.250699
1000,0.126159
2000,0.002593
3000,0.001072
4000,0.000842
5000,0.000727
6000,0.000675
7000,0.000645
8000,0.000612
9000,0.000610
10000,0.000597
11000,0.000584
12000,0.000583
13000,0.000581
14000,0.000571
15000,0.000566
16000,0.000561
17000,0.000566
18000,0.000556
19000,0.000558
20000,0.000559
21000,0.000549
22000,0.000557
23000,0.000546
24000,0.000545
25000,0.000552
26000,0.000549
27000,0.000543
28000,0.000543
29000,0.000539
30000,0.000547
31000,0.000537
32000,0.000541
33000,0.000543
34000,0.000534
35000,0.000545
36000,0.000535
37000,0.000535
38000,0.000536
39000,0.000539
40000,0.000536
41000,0.000531
42000,0.000530
43000,0.000538
44000,0.000529
45000,0.000533
46000,0.000535
47000,0.000526
48000,0.000538
49000,0.000528
50000,0.000529
51000,0.000531
52000,0.000533
53000,0.000527
54000,0.000526
55000,0.000524
56000,0.000533
57000,0.000523
58000,0.000527
59000,0.000530
60000,0.000523
61000,0.000532
62000,0.000523
63000,0.000526
64000,0.000526
65000,0.000529
66000,0.000523
67000,0.000522
68000,0.000520
69000,0.000530
70000,0.000519
71000,0.000524
72000,0.000527
73000,0.000519
74000,0.000530
75000,0.000523
76000,0.000522
77000,0.000523
78000,0.000528
79000,0.000520
80000,0.000518
81000,0.000519
82000,0.000528
83000,0.000516
84000,0.000521
85000,0.000526
86000,0.000518
87000,0.000527
88000,0.000519
89000,0.000522
90000,0.000522
91000,0.000527
92000,0.000518
93000,0.000518
94000,0.000517
95000,0.000528
96000,0.000514
97000,0.000521
98000,0.000525
99000,0.000516
